n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-bezerra-et-al-2009	0	0	0,142	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0	1,807	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0	73,828	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0	36,117	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0	74,88	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0	123,839	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0	140,405	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0	200,852	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0	41,979	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0	411,649	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0	567,224	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,1	0,09	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,1	2,488	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,1	41,533	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,1	91,598	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,1	215,625	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,1	142,286	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,1	265,881	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,1	249,55	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,1	236,459	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,1	110,988	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,1	401,352	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,2	0,032	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,2	1,809	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,2	40,684	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,2	50,775	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,2	68,726	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,2	30,545	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,2	72,62	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,2	206,324	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,2	311,183	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,2	251,394	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,2	100,129	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,3	0,111	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,3	0,873	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,3	33,86	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,3	58,344	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,3	39,635	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,3	112,084	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,3	97,348	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,3	214,846	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,3	221,911	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,3	191,758	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,3	337,158	26	0,105	7,29	8,426
