n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-bezerra-et-al-2009	0,335661604	0,496978801	102,304	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,803528772	0,426021386	100,308	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,281260966	0,579955896	31,484	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,601295805	0,646893132	99,744	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,160722415	0,030282457	7,508	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,188163712	0,325977637	25,641	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,151860897	0,20352087	0,809	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,68483554	0,416406083	182,189	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,349442407	0,751973769	60,387	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,907618632	0,167304115	76,332	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,784469825	0,224315822	133,716	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,336022177	0,74924157	41,344	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,119081742	0,173862689	0,828	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,860937958	0,646652383	224,361	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,606471734	0,712929374	101,601	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,294043129	0,471585168	38,606	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,963546484	0,574306702	123,944	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,709494384	0,648406787	140,755	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,608421687	0,888831497	117,156	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,446844082	0,09017024	166,469	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,269586188	0,950331578	40,741	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,385473208	0,708059336	56,455	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,036650879	0,505273626	0,619	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,525127814	0,389172412	122,916	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,499014466	0,343621394	180,268	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,303442576	0,934302374	48,796	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,002328396	0,568636796	0,114	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,86549618	0,039068941	171,564	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,362151774	0,601462634	47,454	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,67740487	0,268165494	97,395	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,459982613	0,413411769	44,863	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,235953056	0,958892014	7,076	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,250017317	0,903239779	24,824	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,741961485	0,53246685	225,796	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,101432684	0,80629578	1,256	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,957752163	0,002864934	135,203	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,085314719	0,417239704	0,657	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,17567142	0,129646042	24,553	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,438553745	0,148066859	186,648	26	0,105	7,29	8,426
