Number	Network	Mutualism Type	R	C	Location	Reference
1	B_NS-PP-bezerra-et-al-2009	Pollination	26	0.105029585798817	NA	Bezerra et al. 2009
2	B_NS-PP-mosquin-1967	Pollination	30	0.0544444444444444	NA	Mosquin 1967
3	B_NS-PP-olesen_aigrettes	Pollination	27	0.0713305898491084	NA	B_NS-PP-olesen_aigrettes
4	B_NS-PP-olesen_flores	Pollination	22	0.0619834710743802	NA	B_NS-PP-olesen_flores
5	B_NS-PP-vazquez_ArroyoGoye_2002	Pollination	39	0.0282708744247206	NA	B_NS-PP-vazquez_ArroyoGoye_2002
6	B_NS-PP-vazquez_CerroLopez_2002	Pollination	42	0.0255102040816327	NA	B_NS-PP-vazquez_CerroLopez_2002
7	B_NS-PP-vazquez_LlaoLlao_2002	Pollination	39	0.0276134122287968	NA	B_NS-PP-vazquez_LlaoLlao_2002
8	B_NS-PP-vazquez_Mascardi(c)_2002	Pollination	34	0.0311418685121107	NA	B_NS-PP-vazquez_Mascardi(c)_2002
9	B_NS-PS-Baird-1980wgt	Seed dispersal	28	0.0637755102040816	NA	B_NS-PS-Baird-1980wgt
10	B_NS-PS-Beehler-1983wgt	Seed dispersal	40	0.074375	NA	Beehler 1983
11	B_NS-PS-Carlo-2003-FrontonWgt	Seed dispersal	36	0.0393518518518519	NA	B_NS-PS-Carlo-2003-FrontonWgt
12	B_NS-PS-Jordano-1985	Seed dispersal	33	0.111111111111111	NA	B_NS-PS-Jordano-1985
13	B_NS-PS-Kantak-1979	Seed dispersal	32	0.083984375	NA	B_NS-PS-Kantak-1979
14	B_NS-PS-Poulin-et-al-1999Micwgt	Seed dispersal	23	0.0623818525519849	NA	B_NS-PS-Poulin-et-al-1999Micwgt
15	B_NS-PS-Poulin-et-al-1999Pscwgt	Seed dispersal	24	0.0920138888888889	NA	B_NS-PS-Poulin-et-al-1999Pscwgt
16	B_NS-PS-Sorensen-1981wgt	Seed dispersal	26	0.0680473372781065	NA	Sorensen 1981
17	B_SY-AP-IzzomtcCOLpen	Ant-Plant	11	0.0578512396694215	NA	B_SY-AP-IzzomtcCOLpen
18	B_SY-AP-IzzomtcDIM100	Ant-Plant	16	0.04296875	NA	B_SY-AP-IzzomtcDIM100
19	B_SY-AP-IzzomtcFLO	Ant-Plant	21	0.0385487528344671	NA	B_SY-AP-IzzomtcFLO
20	B_SY-AP-IzzomtcPA10	Ant-Plant	15	0.04	NA	B_SY-AP-IzzomtcPA10
21	B_SY-AP-IzzomtcPAcamp	Ant-Plant	21	0.036281179138322	NA	B_SY-AP-IzzomtcPAcamp
22	B_SY-AP-IzzomtcPOW	Ant-Plant	18	0.037037037037037	NA	B_SY-AP-IzzomtcPOW
23	B_SY-AP1-davidson-et-al-1989	Ant-Plant	26	0.0281065088757396	NA	B_SY-AP1-davidson-et-al-1989
24	B_SY-AP3-fonseca&ganade-1996	Ant-Plant	41	0.0285544318857823	NA	B_SY-AP3-fonseca&ganade-1996
